Fecha,Tarde/Noche,Centena,Fijo,1er Corrido,2do Corrido
01/03/2009,T,5,67,83,78
01/03/2009,N,9,9,78,82
02/03/2009,T,3,93,3,12
02/03/2009,N,5,71,94,13
03/03/2009,T,4,71,50,66
03/03/2009,N,2,67,26,7
04/03/2009,T,5,1,46,76
04/03/2009,N,8,44,84,27
05/03/2009,T,6,40,40,8
05/03/2009,N,7,69,31,63
06/03/2009,T,0,29,3,21
06/03/2009,N,9,86,54,73
07/03/2009,T,1,40,44,79
07/03/2009,N,4,83,2,7
08/03/2009,T,7,21,84,92
08/03/2009,N,6,45,14,97
09/03/2009,T,3,99,46,56
09/03/2009,N,7,29,41,97
10/03/2009,T,6,6,93,6
10/03/2009,N,7,72,15,89
11/03/2009,T,8,22,8,59
11/03/2009,N,9,31,51,76
12/03/2009,T,6,11,38,35
12/03/2009,N,1,88,79,27
13/03/2009,T,6,70,36,91
13/03/2009,N,2,21,94,78
14/03/2009,T,1,33,21,14
14/03/2009,N,9,9,55,3
15/03/2009,T,4,67,99,59
15/03/2009,N,5,22,47,59
16/03/2009,T,0,77,60,96
16/03/2009,N,7,18,46,68
17/03/2009,T,2,18,32,4
17/03/2009,N,5,74,54,85
18/03/2009,T,8,50,48,60
18/03/2009,N,7,1,51,6
19/03/2009,T,6,23,5,69
19/03/2009,N,5,91,98,8
20/03/2009,T,6,80,81,2
20/03/2009,N,9,41,2,29
21/03/2009,T,8,39,43,95
21/03/2009,N,0,63,10,42
22/03/2009,T,7,1,66,22
22/03/2009,N,8,80,28,94
23/03/2009,T,7,61,82,26
23/03/2009,N,3,15,10,72
24/03/2009,T,9,92,77,41
24/03/2009,N,3,23,34,1
25/03/2009,T,3,88,40,70
25/03/2009,N,7,59,43,46
26/03/2009,T,7,74,62,95
26/03/2009,N,8,26,35,2
27/03/2009,T,0,44,14,6
27/03/2009,N,3,60,27,18
28/03/2009,T,6,70,55,77
28/03/2009,N,1,85,7,32
29/03/2009,T,7,16,44,38
29/03/2009,N,9,91,32,53
30/03/2009,T,3,8,22,71
30/03/2009,N,5,64,41,50
31/03/2009,T,5,78,64,47
31/03/2009,N,1,59,20,69
01/04/2009,T,7,57,44,62
01/04/2009,N,4,80,51,0
02/04/2009,T,4,39,54,64
02/04/2009,N,5,81,23,24
03/04/2009,T,7,2,67,24
03/04/2009,N,1,61,42,78
04/04/2009,T,8,30,35,30
04/04/2009,N,4,24,75,93
05/04/2009,T,4,64,5,30
05/04/2009,N,2,64,56,34
06/04/2009,T,2,94,99,26
06/04/2009,N,2,97,6,16
07/04/2009,T,1,82,72,7
07/04/2009,N,9,27,54,97
08/04/2009,T,4,93,25,58
08/04/2009,N,3,38,86,12
09/04/2009,T,8,71,44,3
09/04/2009,N,4,74,38,29
10/04/2009,T,4,12,76,27
10/04/2009,N,7,40,89,15
11/04/2009,T,1,9,30,85
11/04/2009,N,0,99,64,32
12/04/2009,T,5,78,45,66
12/04/2009,N,3,24,66,62
13/04/2009,T,1,33,6,96
13/04/2009,N,1,92,26,41
14/04/2009,T,1,92,38,72
14/04/2009,N,9,5,21,56
15/04/2009,T,1,99,40,20
15/04/2009,N,1,5,94,64
16/04/2009,T,3,94,32,82
16/04/2009,N,6,15,44,45
17/04/2009,T,6,24,60,4
17/04/2009,N,2,6,54,93
18/04/2009,T,2,37,28,77
18/04/2009,N,2,40,18,64
19/04/2009,T,9,87,15,70
19/04/2009,N,3,78,17,90
20/04/2009,T,5,74,88,48
20/04/2009,N,6,23,9,46
21/04/2009,T,7,6,32,13
21/04/2009,N,9,91,54,98
22/04/2009,T,7,87,10,74
22/04/2009,N,8,8,88,96
23/04/2009,T,6,14,52,13
23/04/2009,N,4,7,78,23
24/04/2009,T,7,7,42,7
24/04/2009,N,6,14,39,49
25/04/2009,T,5,84,57,63
25/04/2009,N,3,73,28,60
26/04/2009,T,2,49,33,60
26/04/2009,N,4,76,51,72
27/04/2009,T,4,64,39,61
27/04/2009,N,2,24,74,51
28/04/2009,T,8,46,25,77
28/04/2009,N,4,38,94,95
29/04/2009,T,2,60,69,17
29/04/2009,N,1,42,84,22
30/04/2009,T,0,66,1,49
30/04/2009,N,5,95,57,42
01/05/2009,T,3,19,77,73
01/05/2009,N,9,22,15,31
02/05/2009,T,8,10,75,58
02/05/2009,N,7,95,35,5
03/05/2009,T,4,97,36,51
03/05/2009,N,2,80,9,70
04/05/2009,T,8,64,99,4
04/05/2009,N,1,14,31,74
05/05/2009,T,5,69,48,31
05/05/2009,N,9,47,21,20
06/05/2009,T,6,61,95,2
06/05/2009,N,5,58,38,93
07/05/2009,T,7,0,20,29
07/05/2009,N,5,36,60,44
08/05/2009,T,0,5,32,9
08/05/2009,N,6,55,10,31
09/05/2009,T,2,93,25,85
09/05/2009,N,7,19,13,43
10/05/2009,T,1,53,6,40
10/05/2009,N,7,38,22,92
11/05/2009,T,7,64,81,44
11/05/2009,N,5,95,61,93
12/05/2009,T,3,88,99,74
12/05/2009,N,6,81,78,60
13/05/2009,T,6,36,44,2
13/05/2009,N,8,79,7,18
14/05/2009,T,2,46,72,24
14/05/2009,N,3,86,99,43
15/05/2009,T,9,87,95,21
15/05/2009,N,7,19,77,58
16/05/2009,T,1,91,22,93
16/05/2009,N,5,21,94,46
17/05/2009,T,1,86,17,5
17/05/2009,N,6,48,38,42
18/05/2009,T,0,59,22,55
18/05/2009,N,5,62,27,73
19/05/2009,T,1,60,72,60
19/05/2009,N,4,6,50,82
20/05/2009,T,8,34,91,11
20/05/2009,N,9,88,62,50
21/05/2009,T,7,22,5,61
21/05/2009,N,0,18,78,13
22/05/2009,T,1,85,9,96
22/05/2009,N,6,46,72,38
23/05/2009,T,8,4,49,28
23/05/2009,N,3,63,11,25
24/05/2009,T,7,54,28,28
24/05/2009,N,5,11,82,30
25/05/2009,T,1,29,61,6
25/05/2009,N,2,8,9,1
26/05/2009,T,6,76,38,19
26/05/2009,N,4,14,59,81
27/05/2009,T,6,31,77,50
27/05/2009,N,0,57,76,16
28/05/2009,T,7,25,61,51
